LEAID,total_students,american_indian_alaskan_native_students,american_indian_alaskan_native_male_students,american_indian_alaskan_native_female_students,asian_hawaiian_native_pacific_islander_students,asian_hawaiian_native_pacific_islander_male_students,asian_hawaiian_native_pacific_islander_female_students,hispanic_students,hispanic_male_students,hispanic_female_students,black_non_hispanic_students,black_non_hispanic_male_students,black_non_hispanic_female_students,white_students,white_male_students,white_female_students
2305400,83,0,0,0,1,0,1,0,0,0,0,0,0,82,38,44
2305500,1234,7,2,3,10,1,7,7,5,0,8,-1,7,1194,584,608
2305670,2148,3,1,2,52,24,28,20,9,11,15,10,5,2058,1079,979
2305730,341,2,0,2,2,1,1,1,0,1,0,0,0,336,177,159
2305820,1306,1,0,1,36,14,22,10,4,6,19,7,12,1240,647,593
2305970,93,0,0,0,0,0,0,1,0,1,1,0,1,91,40,51
2306000,421,0,0,0,4,0,4,0,0,0,2,0,2,415,215,200
2306060,2753,4,1,3,35,22,13,20,10,10,40,20,20,2654,1335,1319
2306090,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2306160,427,0,0,0,7,1,6,0,0,0,6,3,3,414,223,191
2306180,177,0,0,0,0,0,0,0,0,0,0,0,0,177,89,88
2306250,266,1,1,0,2,1,1,1,1,0,0,0,0,262,132,130
2306260,221,3,0,3,4,2,2,0,0,0,1,0,1,213,101,112
2306330,88,4,2,2,1,1,0,1,1,0,1,0,1,81,36,45
2306510,1159,4,1,3,3,1,2,6,2,4,16,10,6,1130,571,559
2306610,150,0,0,0,2,1,1,0,0,0,1,0,1,147,79,68
2306780,10,0,0,0,0,0,0,0,0,0,0,0,0,10,1,9
2306810,85,0,0,0,0,0,0,0,0,0,0,0,0,85,44,41
2306840,857,1,1,0,9,4,5,16,10,6,6,3,3,825,419,406
2306870,241,0,0,0,2,0,2,0,0,0,0,0,0,239,135,104
2306900,63,0,0,0,0,0,0,0,0,0,2,2,0,61,37,24
2307100,124,1,1,0,0,0,0,0,0,0,2,2,0,121,63,58
2307140,1113,3,2,1,15,5,10,15,7,8,21,10,11,1059,543,516
2307180,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2307250,143,0,0,0,2,0,2,0,0,0,5,3,2,136,70,66
2307320,4524,37,20,15,65,40,23,65,38,25,499,279,218,3850,1952,1896
2307380,346,0,0,0,1,1,0,7,5,2,8,5,3,330,164,166
2307450,209,0,0,0,2,0,2,0,0,0,1,0,1,206,108,98
2307530,1409,-1,-3,-2,0,-2,-2,-1,-4,-1,15,7,4,1380,705,671
2307560,402,1,0,1,0,0,0,0,0,0,3,2,1,398,197,201
2307570,578,0,0,0,0,0,0,3,2,1,2,1,1,573,287,286
2307590,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2307710,428,2,2,-2,6,-1,5,5,2,1,0,-1,-1,407,224,181
2307800,741,2,2,0,10,5,5,5,2,3,9,4,5,715,350,365
2307920,189,0,0,0,2,2,0,0,0,0,3,2,1,184,92,92
2308100,349,0,0,0,2,2,0,1,1,0,5,3,2,341,176,165
2308160,191,0,0,0,1,0,1,0,0,0,3,1,2,187,89,98
2308250,299,28,15,13,6,4,2,2,1,1,3,2,1,260,128,132
2308280,729,3,1,2,5,3,2,1,1,0,5,3,2,715,373,342
2308310,288,0,0,0,0,0,0,0,0,0,1,0,1,287,143,144
