total_students,total_schools,teachers_total,total_revenue,total_federal_revenue,total_state_revenue,total_local_revenue,total_expenditure,total_salaries,white_students,lowest_grade,highest_grade,metro_micro,charter_status,state_name,LEAID,NAME,exist_five_years
3851.0,b'28   ',b'278    ',78684000,28240000,46847000,3597000,77625000,36850000,170.0,PK,12,0,2,alaska,0200001,LOWER KUSKOKWIM REGIONAL EDUCATIONAL,True
2046.0,b'11   ',b'130.9  ',55129000,16612000,36812000,1705000,53463000,14912000,13.0,PK,12,0,3,alaska,0200003,LOWER YUKON REGIONAL EDUCATIONAL ATT,True
452.0,b'3    ',b'37.7   ',39101000,5199000,32466000,1436000,39268000,4503000,6.0,PK,12,0,3,alaska,0200004,YUPIIT SCHOOLS,True
361.0,b'1    ',b'26.4   ',6842000,3525000,2851000,466000,6677000,2988000,1.0,PK,12,0,3,alaska,0200005,KASHUNAMIUT SCHOOL DISTRICT,True
294.0,b'7    ',b'34.2   ',6651000,1777000,3497000,1377000,8576000,2997000,36.0,PK,12,0,3,alaska,0200007,ALEUTIANS EAST BOROUGH SCHOOL DISTRI,True
46.0,b'3    ',b'5      ',1498000,303000,1080000,115000,1439000,635000,10.0,KG,12,1,3,alaska,0200010,ALEUTIAN REGION SCHOOL DISTRICT,True
1709.0,b'15   ',b'151    ',43903000,20749000,20352000,2802000,44138000,18284000,20.0,KG,12,0,3,alaska,0200020,BERING STRAIT REGIONAL EDUCATIONAL A,True
182.0,b'3    ',b'16.4   ',3260000,736000,1381000,1143000,3504000,1482000,59.0,PK,12,0,3,alaska,0200030,BRISTOL BAY BOROUGH SCHOOL DISTRICT,True
448.0,b'8    ',b'-1     ',8391000,2413000,5679000,299000,8584000,3797000,210.0,PK,12,0,3,alaska,0200050,ALASKA GATEWAY REGIONAL EDUCATIONAL,True
457.0,b'2    ',b'30.9   ',5337000,506000,3156000,1675000,5303000,2591000,285.0,PK,12,0,3,alaska,0200060,CORDOVA CITY SCHOOL DISTRICT,True
649.0,b'9    ',b'-1     ',8370000,1236000,6779000,355000,8431000,3833000,397.0,PK,12,0,3,alaska,0200070,COPPER RIVER REGIONAL EDUCATIONAL AT,True
743.0,b'5    ',b'30.5   ',7061000,2029000,3802000,1230000,6768000,3375000,523.0,PK,12,0,2,alaska,0200090,CRAIG CITY SCHOOL DISTRICT,True
1255.0,b'8    ',b'58.8   ',20157000,10493000,9042000,622000,19690000,5125000,931.0,PK,12,1,2,alaska,0200100,DELTA-GREELY REGIONAL EDUCATIONAL AT,True
541.0,b'2    ',b'38     ',9265000,2248000,4779000,2238000,9111000,3821000,55.0,PK,12,0,3,alaska,0200120,DILLINGHAM CITY SCHOOL DISTRICT,True
3765.0,b'4    ',b'61.4   ',21931000,2844000,16479000,2608000,20541000,8217000,3083.0,PK,12,0,3,alaska,0200130,GALENA CITY SCHOOL DISTRICT,True
2323.0,b'10   ',b'-1     ',23212000,2286000,13019000,7907000,24822000,13642000,1364.0,PK,12,2,2,alaska,0200150,KETCHIKAN-GATEWAY BOROUGH SCHOOL DIS,True
49535.0,b'97   ',b'-1     ',464363000,61008000,250223000,153132000,591659000,272211000,28977.0,PK,12,1,2,alaska,0200180,ANCHORAGE SCHOOL DISTRICT,True
5351.0,b'13   ',b'-1     ',53749000,5695000,27417000,20637000,59217000,30300000,3233.0,PK,12,2,2,alaska,0200210,JUNEAU BOROUGH SCHOOL DISTRICT,True
1515.0,b'6    ',b'-1     ',17758000,2503000,8071000,7184000,18746000,9107000,862.0,PK,12,0,3,alaska,0200240,SITKA BOROUGH SCHOOLS,True
298.0,b'4    ',b'-1     ',4508000,630000,1915000,1963000,4713000,1926000,239.0,PK,12,0,3,alaska,0200270,HAINES BOROUGH SCHOOL DISTRICT,True
170.0,b'2    ',b'11     ',5558000,1861000,3044000,653000,5972000,1907000,18.0,PK,12,0,3,alaska,0200300,HOONAH CITY SCHOOL DISTRICT,True
71.0,b'1    ',b'10     ',1434000,558000,745000,131000,1797000,872000,1.0,PK,12,0,3,alaska,0200330,HYDABURG CITY SCHOOL DISTRICT,True
139.0,b'1    ',b'13.6   ',2519000,886000,1298000,335000,2445000,1078000,10.0,KG,12,0,3,alaska,0200360,KAKE CITY SCHOOL DISTRICT,True
9713.0,b'45   ',b'-1     ',99249000,8043000,51628000,39578000,98219000,51259000,8057.0,PK,12,0,2,alaska,0200390,KENAI PENINSULA BOROUGH SCHOOL DISTR,True
159.0,b'1    ',b'12.9   ',2885000,950000,1471000,464000,3039000,1500000,46.0,PK,12,0,3,alaska,0200450,KLAWOCK CITY SCHOOL DISTRICT,True
2699.0,b'15   ',b'171.2  ',32761000,5470000,17882000,9409000,33931000,18339000,1230.0,PK,12,2,3,alaska,0200480,KODIAK ISLAND BOROUGH SCHOOL DISTRIC,True
406.0,b'16   ',b'-1     ',11281000,3538000,6311000,1432000,11447000,5285000,37.0,PK,12,0,3,alaska,0200485,LAKE AND PENINSULA BOROUGH SCHOOLS,True
14766.0,b'38   ',b'-1     ',145751000,14212000,92089000,39450000,156673000,84063000,12384.0,PK,12,1,2,alaska,0200510,MATANUSKA SUSITNA BOROUGH SCHOOL DIS,True
356.0,b'9    ',b'27.3   ',6958000,1949000,4558000,451000,6707000,2999000,80.0,PK,12,0,3,alaska,0200520,IDITAROD REGIONAL EDUCATIONAL ATTEND,True
