LEAID,NAME,cluster,label
2621750,LITCHFIELD COMMUNITY SCHOOLS,0,False
4026550,RUSH SPRINGS,4,False
2700013,WATERVILLE-ELYSIAN-MORRISTOWN,0,False
3904401,FREMONT CITY,4,False
1920850,NORTH MAHASKA COMM SCHOOL DISTRICT,4,False
3600004,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,4,False
1704380,ASHTON-FRANKLIN CENTER CUSD 275,4,False
3700133,CAROLINA INTERNATIONAL,4,False
2614690,GWINN AREA COMMUNITY SCHOOLS,0,False
4200122,KIPP ACADEMY CHARTER SCHOOL,2,False
2105970,WOLFE COUNTY,0,False
4200068,ROBERTO CLEMENTE CS,2,False
3000039,JEFFERSON,1,False
0804410,"GREELEY,SCHOOL DISTRICT NO. 6, IN THE COUNTY OF WELD AND STA",4,False
4202850,PINE-RICHLAND SD,2,False
4812180,BURLESON ISD,2,False
4008730,COTTONWOOD,0,False
1806570,MICHIGAN CITY AREA SCHOOLS,0,False
4502400,GREENWOOD 52,4,False
4000013,TIMBERLAKE,4,False
3416440,UNION TOWNSHIP,2,False
2314765,RSU 72/MSAD 72,2,False
0802550,"CHOOL DISTRICT NO. RE-10, IN THE COUNTY OF WELD AND STATE OF",0,False
3900587,MANSFIELD PREPARATORY ACADEMY,0,False
2011790,SOUTH HAVEN,0,False
